EnsembleID,S518NP,P3005NP,P3185NP,P3190NP,P3236NP,P3071NP
ENSG00000000003,2.835829041,0.491495743,0.491495743,0.491495743,0.83861323,2.69412117
ENSG00000000419,4.729261963,3.903118235,3.51922813,3.748342975,3.598591771,3.528232095
ENSG00000000457,3.220913249,3.614691438,2.440884036,3.636467861,3.643432651,3.170636651
ENSG00000000460,2.386347545,3.614691438,4.427948733,5.021974594,4.24774655,2.69412117
ENSG00000000938,7.055350937,5.86632933,5.994929239,6.696082493,7.248712871,5.836139255
ENSG00000000971,0.964924616,0.491495743,1.773077512,0.491495743,0.83861323,0.491495743
ENSG00000001036,3.803772313,2.771436164,0.491495743,1.268225633,2.386862702,1.977737121
ENSG00000001084,5.77206334,4.349280359,5.692201856,4.354603532,3.504499008,4.740623486
ENSG00000001167,2.529666094,4.349280359,3.752473184,5.108384049,5.223198145,4.990957457
ENSG00000001460,0.491495743,2.771436164,1.773077512,1.268225633,0.83861323,0.491495743
ENSG00000001461,5.216176197,0.491495743,4.129387603,4.423638414,5.178192894,2.69412117
ENSG00000001497,4.714334711,5.298647272,4.556860461,4.489520191,4.157878931,4.258204254
ENSG00000001561,2.386347545,3.614691438,2.895625316,1.770364417,2.029594888,3.528232095
ENSG00000001617,0.491495743,0.491495743,0.491495743,1.770364417,0.83861323,0.491495743
ENSG00000001629,6.570693018,5.394743376,4.981154639,5.443652729,5.454685068,5.474575202
ENSG00000001630,0.491495743,0.491495743,0.491495743,1.268225633,0.491495743,0.491495743
ENSG00000001631,6.022853125,5.649720085,5.994929239,5.540078094,5.82929265,5.554500906
ENSG00000002016,2.596317412,0.491495743,0.491495743,1.770364417,2.911645409,0.491495743
ENSG00000002330,2.596317412,4.349280359,2.895625316,4.282098492,4.628426336,2.69412117
ENSG00000002549,6.342174849,5.931862265,5.851491359,5.570839005,6.571387187,5.702181763
ENSG00000002586,5.750275354,7.259471076,8.380992785,8.469128148,9.152107171,8.763287465
ENSG00000002587,0.491495743,2.041553926,0.491495743,1.268225633,0.491495743,1.977737121
ENSG00000002726,0.491495743,0.491495743,0.491495743,0.491495743,0.83861323,1.977737121
ENSG00000002745,0.491495743,2.771436164,0.491495743,1.770364417,0.491495743,0.491495743
ENSG00000002746,0.747543474,0.491495743,0.491495743,0.491495743,0.491495743,0.491495743
ENSG00000002822,3.746228639,5.084818068,4.28637771,5.340318031,5.6431154,5.389960554
ENSG00000002834,7.597076377,7.259471076,7.58900228,7.458483334,7.751985253,7.162343935
ENSG00000002919,5.835519952,3.614691438,3.752473184,4.354603532,4.126634481,3.170636651
ENSG00000002933,0.491495743,0.491495743,0.491495743,1.268225633,2.386862702,0.491495743
ENSG00000003056,4.130491573,5.084818068,4.784549683,4.489520191,5.994166995,4.437538838
ENSG00000003096,1.153799778,0.491495743,0.491495743,1.770364417,1.887709792,0.491495743
ENSG00000003137,2.660024991,0.491495743,0.491495743,0.491495743,0.83861323,2.69412117
ENSG00000003147,2.942155921,4.143378292,5.154152048,4.72653942,5.390369581,6.071674844
ENSG00000003249,3.220913249,2.771436164,2.895625316,3.074702331,0.83861323,0.491495743
ENSG00000003393,4.684008712,3.614691438,4.129387603,2.891885759,3.051305335,2.69412117
ENSG00000003400,6.231201509,3.253816588,3.953204495,4.282098492,4.18846104,2.69412117
ENSG00000003402,7.833021126,8.132563518,8.440687694,8.634782165,9.113781789,8.266225763
ENSG00000003436,5.800611397,7.472649896,7.558532012,7.707187199,7.749423541,7.888503431
ENSG00000003509,2.942155921,3.614691438,1.773077512,2.142135943,2.386862702,1.977737121
ENSG00000003756,5.928996082,6.668351268,7.463058528,7.399727425,7.645793647,7.375394941
ENSG00000003989,2.048306209,2.041553926,0.491495743,0.491495743,0.491495743,0.491495743
ENSG00000004059,4.999334895,5.394743376,4.556860461,4.354603532,5.697286642,5.554500906
ENSG00000004139,0.747543474,3.253816588,1.773077512,2.142135943,2.911645409,0.491495743
ENSG00000004142,3.912400474,4.349280359,3.953204495,4.125146636,2.757002329,3.528232095
ENSG00000004399,5.821657725,3.253816588,4.129387603,3.636467861,4.386104588,2.69412117
ENSG00000004455,5.941868795,4.833687412,4.981154639,5.508646987,3.923465929,4.437538838
ENSG00000004468,3.220913249,2.771436164,2.440884036,2.437467618,2.158766942,0.491495743
ENSG00000004478,5.922516395,3.614691438,5.900905608,5.37559174,2.672984976,4.437538838
ENSG00000004487,4.339491248,6.370434005,6.355487413,6.639165213,6.232941206,6.752018578
ENSG00000004534,5.11751012,6.505707139,6.808147537,7.063598553,7.033964671,6.571695232
ENSG00000004660,1.844040484,2.771436164,4.28637771,3.074702331,3.552312346,1.977737121
ENSG00000004700,5.503466925,5.394743376,4.981154639,6.099929148,5.162873653,5.389960554
ENSG00000004766,4.358817851,2.771436164,2.895625316,3.852163487,3.923465929,3.528232095
ENSG00000004776,0.491495743,0.491495743,0.491495743,2.142135943,0.83861323,0.491495743
ENSG00000004777,0.491495743,0.491495743,2.895625316,1.268225633,2.757002329,0.491495743
ENSG00000004779,3.886000568,5.394743376,4.784549683,4.831884545,3.598591771,5.389960554
ENSG00000004799,5.247620292,4.143378292,5.070244864,3.852163487,3.178630759,2.69412117
ENSG00000004809,0.747543474,0.491495743,0.491495743,0.491495743,0.491495743,0.491495743
ENSG00000004838,0.491495743,0.491495743,0.491495743,0.491495743,0.491495743,1.977737121
ENSG00000004848,1.949785482,0.491495743,0.491495743,0.491495743,0.491495743,1.977737121
ENSG00000004864,0.491495743,3.253816588,3.51922813,2.891885759,3.051305335,1.977737121
ENSG00000004866,3.220913249,3.253816588,4.28637771,4.72653942,5.779940044,5.101519966
ENSG00000004897,7.067148588,6.322369514,6.614387461,6.436955143,6.218195343,6.850299185
ENSG00000004939,8.016101253,7.752037746,8.529771845,7.329510303,4.796674293,8.358181171
ENSG00000004948,0.491495743,0.491495743,0.491495743,0.491495743,0.491495743,1.977737121
ENSG00000004961,2.459785762,4.689565934,1.773077512,3.748342975,2.386862702,4.053370258
ENSG00000004975,2.779574869,4.349280359,1.773077512,2.891885759,2.83639491,0.491495743
ENSG00000005007,5.247620292,5.394743376,5.948683254,5.508646987,6.338977864,4.597025657
ENSG00000005020,7.373038291,8.71976067,9.373578328,9.276362848,9.684507593,9.822781171
ENSG00000005022,7.040466896,6.221152269,5.994929239,5.990419067,5.034085659,5.204209196
ENSG00000005059,6.016782426,3.253816588,3.51922813,4.423638414,2.983164683,3.81456408
ENSG00000005075,2.22720522,6.167749796,5.800324395,5.443652729,4.835839797,5.770714733
ENSG00000005100,2.889971798,2.041553926,2.895625316,3.074702331,3.99441573,2.69412117
ENSG00000005102,0.491495743,2.041553926,2.440884036,1.268225633,0.83861323,0.491495743
ENSG00000005108,2.308969626,0.491495743,0.491495743,1.268225633,0.83861323,2.69412117
ENSG00000005156,4.936407154,3.614691438,4.886198644,4.205755876,3.729138123,3.170636651
ENSG00000005175,5.413912789,5.569632511,5.900905608,6.259500942,6.195790041,5.300072318
ENSG00000005187,3.686294071,2.041553926,2.440884036,2.682494716,2.277317989,1.977737121
ENSG00000005189,0.491495743,2.041553926,2.440884036,1.770364417,3.403838674,1.977737121
ENSG00000005194,4.469636893,2.041553926,3.51922813,3.852163487,2.672984976,3.170636651
ENSG00000005206,1.320785797,2.771436164,0.491495743,1.268225633,3.643432651,0.491495743
ENSG00000005238,4.037605937,4.143378292,5.448115975,4.72653942,5.620864237,3.81456408
ENSG00000005243,0.491495743,2.041553926,1.773077512,0.491495743,1.352299484,2.69412117
ENSG00000005249,8.936215076,8.672615308,9.973488467,9.94119125,11.12270979,10.73212143
ENSG00000005302,6.332431785,5.86632933,5.233446251,5.37559174,5.237893222,4.871213364
