EnsembleID,P3202NP,P3275NP,P3090NP,P3095NP,P3107NP,P3230NP,P3376NP,P3052NP,P3387NP,P3372NP,P3367NP,P3354NP
ENSG00000000003,2.273814282,1.675796375,1.566176233,0.973961385,1.550931715,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000000419,3.586816843,3.738603545,3.576986851,3.710374101,3.760674868,4.262352439,3.502357774,4.587331155,2.399328432,2.164894554,3.396740887,3.830736665
ENSG00000000457,3.586816843,3.271468942,4.748904959,4.304889691,3.125168646,0.973961385,4.526206371,2.903622368,3.572680245,3.864411633,4.255520413,3.830736665
ENSG00000000460,3.749675919,4.61028964,3.451129562,6.05512422,5.758073798,3.402937205,4.526206371,3.700642946,4.830611096,3.251651901,2.430668888,3.01729599
ENSG00000000938,5.892383662,7.366636614,7.098585199,5.143272064,5.080522482,6.147124012,6.681872073,6.405077838,6.405106465,6.3235076,6.481524985,6.577144652
ENSG00000000971,2.273814282,1.183905135,3.515430208,2.066725265,1.550931715,0.973961385,3.502357774,2.903622368,0.973961385,2.164894554,0.973961385,0.973961385
ENSG00000001036,0.973961385,3.67051347,3.200410002,0.973961385,2.955916334,0.973961385,2.106423139,2.903622368,3.102141425,2.164894554,2.430668888,1.806238091
ENSG00000001084,4.797541603,3.635224136,4.0153308,5.538123027,3.760674868,5.186564968,5.608932242,4.587331155,4.830611096,5.402107695,4.379472911,5.33238038
ENSG00000001167,5.005303347,4.748810628,5.533844307,4.949104724,2.955916334,2.648672864,4.198352984,0.973961385,5.132482809,2.808271045,5.539714524,5.583644723
ENSG00000001460,2.273814282,1.529708111,1.790634075,3.110962301,3.125168646,0.973961385,0.973961385,0.973961385,2.399328432,2.808271045,0.973961385,0.973961385
ENSG00000001461,4.150476891,4.61028964,5.279909865,4.597854534,5.732094367,2.648672864,3.773385596,5.690234041,3.926912337,2.164894554,4.119908674,4.234803366
ENSG00000001497,5.186877216,4.457042003,5.594636472,4.304889691,3.538859825,3.402937205,4.910165979,3.700642946,0.973961385,3.864411633,5.485565662,5.673056202
ENSG00000001561,3.403205969,2.648875386,2.689423113,2.066725265,2.281471541,3.895714752,0.973961385,0.973961385,0.973961385,2.164894554,2.430668888,2.330660671
ENSG00000001617,0.973961385,0.973961385,0.973961385,2.066725265,0.973961385,0.973961385,0.973961385,0.973961385,2.399328432,0.973961385,0.973961385,1.806238091
ENSG00000001626,1.765582851,0.973961385,0.973961385,0.973961385,0.973961385,2.648672864,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000001629,6.025543656,5.753887216,5.541584901,5.467328632,6.4261305,6.147124012,5.537984444,5.132455145,5.594641354,6.12943129,4.958633182,5.673056202
ENSG00000001630,0.973961385,1.675796375,2.072925691,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,2.7144481
ENSG00000001631,6.087781415,6.373034415,6.108731433,6.05512422,6.705188485,5.745353665,6.126851698,6.203762181,5.690262232,5.485623103,6.030502768,5.536771306
ENSG00000002016,1.765582851,2.242867482,3.313234252,2.68132932,0.973961385,2.648672864,2.106423139,4.211061565,2.399328432,0.973961385,1.878854799,3.01729599
ENSG00000002079,0.973961385,1.183905135,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000002330,2.648899539,4.646186598,2.84765131,3.710374101,4.905614859,2.648672864,3.168355895,4.885488394,4.211087762,2.164894554,4.255520413,4.641557669
ENSG00000002549,5.582333282,5.669189715,5.038701254,4.949104724,4.995717702,5.004993486,5.537984444,4.211061565,4.989428103,5.639414955,5.827807219,6.943409875
ENSG00000002586,7.623843641,9.308911905,7.152655823,8.775076074,10.08944527,8.160903909,8.652650198,7.524225957,8.903274639,8.002788744,6.780326379,7.630788
