EnsembleID,P3258NP,P3271NP,P3277NP,P3179NP,P3278NP,P3347NP,P3102NP,P3062NP,P3350NP,P3140NP
ENSG00000000003,1.4364307,0.555240179,0.20279497,0.799217965,0.68158969,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000000419,3.526250231,3.582495186,4.456074782,3.518847345,4.087906844,3.909570704,3.254403493,3.039474869,3.448705053,3.668324399
ENSG00000000457,2.405756893,2.714841258,2.336437788,3.139295568,3.474629453,0.20279497,3.060723424,3.934790935,2.59328722,3.378682554
ENSG00000000460,4.759008411,5.251547008,5.230638362,4.501941111,4.162789537,0.20279497,5.117619429,4.22301218,4.807962904,6.171325765
ENSG00000000938,5.206691262,5.299003004,5.502921135,6.650139325,5.292828203,6.717377135,5.845388685,6.410756944,5.495218253,4.690328225
ENSG00000000971,1.689312795,0.555240179,0.20279497,0.20279497,1.772234861,0.20279497,1.232511218,2.180372087,0.20279497,0.942446776
ENSG00000001036,3.158469208,3.981975268,2.666850197,3.139295568,2.6167595,0.20279497,1.827244654,2.601667158,0.20279497,2.323433549
ENSG00000001084,5.101675241,2.91086166,4.956427085,3.403081271,4.162789537,4.457224861,4.428346414,3.49777348,5.712342125,2.871409359
ENSG00000001167,4.417747585,4.010764644,4.456074782,4.501941111,4.397943561,0.20279497,4.651197315,4.720308432,4.370590379,3.378682554
ENSG00000001460,2.091558607,1.887066858,0.20279497,1.391770528,1.327610628,0.20279497,2.247142917,2.526680341,0.20279497,1.792231716
ENSG00000001461,4.731112996,5.085557246,4.456074782,4.257198644,3.967748902,4.457224861,5.014378473,5.177855965,3.448705053,5.253692505
ENSG00000001497,3.158469208,3.728295429,4.456074782,4.661602808,4.600086302,3.909570704,4.064858939,4.879455412,4.676374862,3.147227648
ENSG00000001561,2.405756893,2.567602833,1.907147936,1.926936282,2.386189506,0.20279497,1.232511218,2.805742264,0.20279497,2.082144396
ENSG00000001617,1.129598361,0.20279497,1.293251249,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000001629,6.446690715,6.556877314,5.866543872,5.575924269,6.012750856,3.909570704,5.389262665,5.140621024,5.495218253,6.706613619
ENSG00000001630,0.739374661,1.277910509,0.20279497,1.545286854,1.327610628,0.20279497,0.20279497,1.251363748,0.20279497,0.20279497
ENSG00000001631,6.712267726,6.576267774,5.92943634,6.011078084,6.237251609,5.163633173,6.167557166,5.93311549,5.495218253,7.046544892
ENSG00000002016,1.904409574,2.218560019,1.293251249,1.926936282,1.566983978,0.20279497,2.247142917,3.092436099,0.20279497,0.942446776
ENSG00000002330,3.81906313,4.928453702,3.822693561,3.481281428,4.198822047,3.016034257,3.957626039,3.813850043,1.84511817,4.115945632
ENSG00000002549,4.231187743,4.491184604,4.956427085,6.728385369,4.891840956,5.635763259,3.841778088,5.44549082,4.676374862,4.050336537
ENSG00000002586,9.624449423,9.784255935,8.672463224,8.722642167,8.862499823,7.055088248,8.542213102,8.934742846,9.136446299,10.35457824
ENSG00000002587,0.20279497,0.20279497,0.20279497,0.53161028,0.68158969,0.20279497,0.20279497,0.820317646,0.20279497,0.20279497
ENSG00000002745,0.20279497,0.20279497,1.293251249,0.799217965,0.20279497,0.20279497,1.827244654,0.20279497,0.20279497,0.20279497
ENSG00000002822,4.149240049,4.570677015,4.367999926,5.017040205,4.42861374,4.457224861,4.718436525,5.076344171,4.676374862,4.457076479
ENSG00000002834,7.411006256,7.768454274,7.399464668,7.250666517,7.136158832,6.399388502,7.272408004,7.306060864,7.229844513,7.826628391
ENSG00000002919,4.382315822,4.491184604,4.066036151,3.518847345,3.925364487,0.20279497,3.254403493,3.574238415,3.083489023,4.928065297
ENSG00000002933,0.20279497,0.20279497,0.20279497,0.53161028,1.040462049,3.909570704,1.827244654,2.275048431,1.84511817,0.20279497
ENSG00000003056,5.448572921,6.910075263,5.230638362,5.790778298,5.259095505,5.418926047,4.959848444,5.96896182,4.370590379,4.964140826
ENSG00000003096,1.904409574,2.643099587,1.907147936,2.034597577,1.95188879,0.20279497,1.232511218,1.723762462,0.20279497,0.942446776
ENSG00000003137,0.20279497,0.555240179,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000003147,6.224612165,6.335796885,5.659526275,5.344453869,5.782816599,5.635763259,5.814989461,5.04980955,5.039822633,6.717222261
ENSG00000003249,1.689312795,0.838266503,1.293251249,1.024868161,2.111628062,0.20279497,2.571979629,1.582812426,0.20279497,0.20279497
ENSG00000003393,2.980348133,3.620349732,2.666850197,2.754593985,2.719553268,3.909570704,3.060723424,3.49777348,1.84511817,3.833449427
