EnsembleID,P3256PE,P3013PE,P3302PE,P3078PE
ENSG00000000003,1.898922375,1.748513077,1.088752109,1.088752109
ENSG00000000419,4.048664173,3.584080617,2.418015942,1.944494569
ENSG00000000457,4.304058266,3.342389135,4.623462389,2.477977306
ENSG00000000460,3.223098796,5.879094563,3.906575275,4.139638344
ENSG00000000938,7.034785278,4.529299665,7.134195129,6.184561934
ENSG00000000971,2.414620149,1.088752109,3.558177786,1.088752109
ENSG00000001036,2.414620149,4.366337122,1.088752109,2.866569266
ENSG00000001084,5.9592741,3.791032436,2.418015942,3.172394178
ENSG00000001167,5.47870341,4.529299665,4.623462389,4.713514853
ENSG00000001460,1.088752109,2.199544088,1.088752109,2.477977306
ENSG00000001461,4.361419025,5.121316068,4.800462183,4.274126854
ENSG00000001497,4.469721099,3.25190465,4.186989936,3.991311731
ENSG00000001561,2.414620149,2.940428732,3.906575275,2.866569266
ENSG00000001617,1.088752109,1.088752109,1.088752109,1.944494569
ENSG00000001629,5.192962519,6.076550689,5.100197867,6.21832254
ENSG00000001630,1.549975946,1.456022994,1.088752109,1.944494569
ENSG00000001631,5.760390653,6.905681764,4.186989936,6.648008992
ENSG00000002016,2.414620149,1.748513077,3.558177786,1.088752109
ENSG00000002330,4.11687468,5.196020147,4.186989936,4.397140402
ENSG00000002549,4.709488119,4.987511928,3.906575275,4.891466204
ENSG00000002586,7.161304208,9.812650787,6.882096412,9.17322254
ENSG00000002587,1.898922375,1.088752109,1.088752109,1.088752109
ENSG00000002726,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000002745,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000002746,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000002822,5.398762,4.027591115,4.421669871,6.041016903
ENSG00000002834,7.472444501,8.104783898,7.031495775,7.416971128
ENSG00000002919,3.223098796,4.182594687,4.421669871,4.397140402
ENSG00000002933,1.088752109,1.748513077,1.088752109,1.088752109
ENSG00000003056,5.47870341,6.415645606,5.744327642,5.383216001
ENSG00000003096,1.898922375,2.199544088,1.088752109,1.944494569
ENSG00000003147,4.18200527,6.153547358,2.418015942,5.881595221
ENSG00000003249,2.17969193,1.456022994,1.088752109,1.088752109
ENSG00000003393,4.244322104,3.914154919,3.097915969,3.424592397
