EnsembleID,P3181SPE,S601PE
ENSG00000000003,0.041479546,3.411611281
ENSG00000000419,4.029466056,3.490843111
ENSG00000000457,3.259982973,0.041479546
ENSG00000000460,5.45226292,5.581611084
ENSG00000000938,6.774604143,6.59320983
ENSG00000000971,0.041479546,4.61228741
ENSG00000001036,2.959696209,0.041479546
ENSG00000001084,3.720272691,5.860505553
ENSG00000001167,4.662816507,5.634910086
ENSG00000001460,1.25051005,0.041479546
ENSG00000001461,4.029466056,2.933110579
ENSG00000001497,4.316897294,4.157893529
ENSG00000001561,1.898921006,0.041479546
ENSG00000001629,5.566271411,6.817251629
ENSG00000001630,1.500437039,0.041479546
ENSG00000001631,6.26836031,6.143997199
ENSG00000002016,1.25051005,3.04234942
ENSG00000002330,3.768711125,0.704810885
ENSG00000002549,4.831924228,6.654717679
ENSG00000002586,9.514568033,4.747491891
ENSG00000002587,0.948022465,5.388224045
ENSG00000002726,0.948022465,2.544798606
ENSG00000002745,0.948022465,0.041479546
ENSG00000002746,0.564814766,0.041479546
ENSG00000002822,4.144065593,0.041479546
ENSG00000002834,7.532090637,7.939810758
ENSG00000002919,4.106868108,2.212177794
ENSG00000002933,1.713393569,0.041479546
ENSG00000003056,5.734235781,3.63733799
ENSG00000003096,1.25051005,0.041479546
ENSG00000003137,0.564814766,0.041479546
ENSG00000003147,5.082416201,0.041479546
ENSG00000003249,0.564814766,0.041479546
ENSG00000003393,3.259982973,6.068520692
ENSG00000003400,3.190565518,5.06481088
ENSG00000003402,9.066394524,7.511431416
ENSG00000003436,8.613436605,5.975164263
ENSG00000003509,0.564814766,0.041479546
ENSG00000003756,7.685045108,7.621155621
ENSG00000003989,0.564814766,0.041479546
ENSG00000004059,5.579909261,5.188802116
ENSG00000004139,1.500437039,1.501543852
ENSG00000004142,3.326213081,2.388052975
ENSG00000004399,3.450195503,0.041479546
ENSG00000004455,4.283947761,6.238857306
ENSG00000004468,1.500437039,4.714860015
ENSG00000004478,3.768711125,1.501543852
ENSG00000004487,6.756703501,6.359873797
ENSG00000004534,6.952881466,4.057362515
ENSG00000004660,3.117638349,0.041479546
ENSG00000004700,5.210680126,0.704810885
ENSG00000004766,4.215701366,6.906651259
ENSG00000004776,1.25051005,0.041479546
ENSG00000004777,0.564814766,0.041479546
ENSG00000004779,4.250228074,5.302975271
ENSG00000004799,4.737730682,6.663294296
ENSG00000004809,1.713393569,1.501543852
ENSG00000004838,0.564814766,0.041479546
ENSG00000004846,0.564814766,0.041479546
ENSG00000004864,2.580021453,0.041479546
ENSG00000004866,5.734235781,5.799567437
ENSG00000004897,6.877580301,7.268879201
ENSG00000004939,6.126881617,9.24030295
ENSG00000004961,3.190565518,5.768105146
ENSG00000004975,2.684709857,0.041479546
ENSG00000005007,5.697174061,0.041479546
ENSG00000005020,10.2475205,6.921027072
ENSG00000005022,5.437356895,6.877462617
ENSG00000005059,3.190565518,4.929152766
ENSG00000005075,5.840029427,0.041479546
ENSG00000005100,4.283947761,4.61228741
ENSG00000005102,1.898921006,5.634910086
ENSG00000005156,3.508407343,2.388052975
ENSG00000005175,6.136142344,5.768105146
ENSG00000005187,2.580021453,0.704810885
ENSG00000005189,3.259982973,5.038680589
ENSG00000005194,2.580021453,1.501543852
ENSG00000005206,0.948022465,0.041479546
ENSG00000005238,4.962599946,5.890035786
ENSG00000005243,1.713393569,0.041479546
ENSG00000005249,11.24637528,8.807342951
ENSG00000005302,4.941626177,5.01206828
ENSG00000005339,7.364919619,5.140476712
ENSG00000005379,3.117638349,0.704810885
ENSG00000005381,2.959696209,2.814917713
ENSG00000005436,2.580021453,4.057362515
ENSG00000005448,0.948022465,0.041479546
ENSG00000005469,3.040827583,0.041479546
ENSG00000005471,2.063285685,4.647294863
ENSG00000005483,8.067952163,8.134346108
ENSG00000005486,2.467137833,0.041479546
ENSG00000005700,5.646229247,3.832478736
ENSG00000005801,2.210825039,4.157893529
ENSG00000005810,7.887795004,7.477790903
ENSG00000005812,6.577960847,6.451852889
ENSG00000005844,6.098737331,6.58420495
ENSG00000005882,3.815575932,1.157492132
ENSG00000005884,0.564814766,0.041479546
ENSG00000005889,5.082416201,5.735941399
ENSG00000005893,5.671926515,2.212177794
ENSG00000005961,10.21073834,6.168303347
ENSG00000006007,5.245325777,7.340147877
ENSG00000006015,2.467137833,0.041479546
ENSG00000006025,0.948022465,0.041479546
ENSG00000006042,0.564814766,0.041479546
ENSG00000006062,4.068686107,0.704810885
ENSG00000006118,0.564814766,0.041479546
ENSG00000006125,7.874023125,7.607887866
ENSG00000006194,2.210825039,1.501543852
ENSG00000006210,0.564814766,1.157492132
ENSG00000006282,2.063285685,1.501543852
ENSG00000006327,0.948022465,0.041479546
ENSG00000006432,0.948022465,0.041479546
ENSG00000006451,4.283947761,4.957324088
ENSG00000006459,6.420121741,7.193906085
ENSG00000006530,2.467137833,3.770319097
ENSG00000006534,3.326213081,3.143895889
ENSG00000006555,0.948022465,0.041479546
