EnsembleID,P3234PE,P3200PE,P3322PE,P3125PE,P3360SPE.1,P3174PE,S586PE
ENSG00000000003,1.450009315,2.357246082,1.021011534,1.021011534,2.440797094,2.5337666,1.021011534
ENSG00000000419,4.157154507,3.684857269,4.698249073,3.442193525,4.250182126,2.5337666,2.983143058
ENSG00000000457,3.691765545,3.287734011,3.322852718,2.985988394,1.021011534,4.093833879,5.171374811
ENSG00000000460,4.6565145,4.973968265,1.021011534,5.435718819,4.487344268,3.255846671,2.429761361
ENSG00000000938,6.335177856,6.163040014,6.927012122,6.544981106,6.129918488,6.746186795,7.698703407
ENSG00000000971,2.048798304,1.838599807,1.021011534,2.314989466,2.440797094,1.021011534,2.983143058
ENSG00000001036,2.642905391,1.021011534,1.021011534,1.021011534,3.142330303,1.021011534,1.021011534
ENSG00000001084,4.099178479,5.998213157,5.389384054,3.788269875,6.700877862,6.043834575,5.965460424
ENSG00000001167,4.615743508,4.251680284,5.0848135,3.442193525,2.440797094,4.825768459,5.102525649
ENSG00000001460,2.935722994,1.838599807,1.021011534,1.021011534,1.021011534,2.5337666,1.021011534
ENSG00000001461,5.215957447,3.684857269,1.021011534,4.300808666,4.487344268,2.5337666,3.597584367
ENSG00000001497,3.975731024,4.251680284,3.322852718,4.678223663,4.869375002,4.093833879,4.698223519
ENSG00000001561,2.559370401,2.357246082,1.021011534,1.021011534,2.440797094,1.021011534,1.021011534
ENSG00000001617,1.450009315,1.838599807,1.021011534,1.021011534,1.021011534,1.021011534,2.983143058
ENSG00000001629,5.965009159,5.347364185,5.389384054,5.224556214,5.171130378,4.620480143,6.095158561
ENSG00000001630,1.251397792,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,1.520556383
ENSG00000001631,6.328885435,6.131546813,4.168600383,5.703840292,4.869375002,5.773204727,6.262291329
ENSG00000002016,2.376220103,1.021011534,1.021011534,1.021011534,1.021011534,2.5337666,1.717585159
ENSG00000002330,4.573786724,4.468847826,3.322852718,4.067181446,4.487344268,3.255846671,2.185348848
ENSG00000002549,4.844692013,5.598362882,4.168600383,5.619883797,5.171130378,6.043834575,5.540155584
ENSG00000002586,8.836253622,8.346124175,8.051332089,9.45807139,8.133581434,5.559707002,5.154468095
ENSG00000002587,1.251397792,1.838599807,1.021011534,2.314989466,1.021011534,1.021011534,1.021011534
ENSG00000002726,1.021011534,1.021011534,3.322852718,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000002822,4.368237365,4.973968265,4.698249073,5.333997471,5.301227865,5.773204727,4.914491229
ENSG00000002834,7.828218424,7.415179939,7.104751027,7.008272934,7.108862497,7.252554928,7.861212514
ENSG00000002919,4.157154507,4.364346456,5.389384054,3.788269875,2.440797094,4.381055846,5.048643009
ENSG00000002933,1.251397792,1.021011534,1.021011534,3.442193525,1.021011534,3.255846671,2.429761361
ENSG00000003056,5.864183377,5.687690442,4.168600383,5.224556214,5.171130378,3.73484667,4.134495037
ENSG00000003096,1.780249194,1.021011534,1.021011534,2.314989466,1.021011534,1.021011534,1.021011534
ENSG00000003137,1.021011534,1.838599807,1.021011534,1.021011534,1.021011534,1.021011534,1.292298233
ENSG00000003147,6.244483892,5.687690442,4.168600383,5.78317853,5.171130378,3.73484667,3.128746178
ENSG00000003249,1.251397792,3.038872542,1.021011534,2.314989466,3.612301316,4.093833879,2.821178303
ENSG00000003393,3.480934629,3.287734011,1.021011534,2.985988394,2.440797094,1.021011534,4.06381881
ENSG00000003400,3.875678282,4.973968265,4.168600383,2.314989466,3.142330303,4.825768459,5.237087428
ENSG00000003402,8.99271116,8.597320955,7.961846146,8.183897844,8.043492762,7.782636981,8.014300506
ENSG00000003436,8.514540503,8.508168228,5.854714557,7.072850164,6.263616437,5.005451055,4.873753776
ENSG00000003509,2.470699671,2.73794616,1.021011534,1.021011534,3.142330303,3.255846671,1.292298233
ENSG00000003756,8.008324696,7.699179461,5.64072965,7.574526584,6.79222728,6.528332646,5.768424001
ENSG00000003989,1.021011534,2.73794616,1.021011534,2.314989466,1.021011534,1.021011534,1.021011534
ENSG00000004059,6.051624244,5.851290257,3.322852718,5.530737976,5.530767303,5.165212984,5.137360899
ENSG00000004139,2.86789994,1.021011534,3.322852718,1.021011534,1.021011534,1.021011534,2.73282405
ENSG00000004142,3.434801911,3.038872542,4.698249073,3.442193525,4.487344268,4.825768459,5.204605226
ENSG00000004399,3.286831853,3.995929064,3.322852718,2.985988394,3.142330303,2.5337666,4.810406046
ENSG00000004455,4.463224272,5.043303456,3.322852718,4.678223663,5.301227865,5.670401583,6.573394412
ENSG00000004468,3.121932342,2.357246082,1.021011534,2.985988394,1.021011534,3.255846671,3.057780702
ENSG00000004478,3.875678282,4.468847826,4.168600383,5.106126332,4.487344268,5.005451055,3.911146062
ENSG00000004487,7.03326023,6.470493892,4.698249073,6.974866977,6.38596832,6.123829259,5.906095575
ENSG00000004534,7.218253427,6.845254445,3.322852718,6.756348479,6.058116555,5.86916711,4.297376701
ENSG00000004660,2.86789994,2.357246082,3.322852718,2.314989466,1.021011534,2.5337666,1.890910519
ENSG00000004700,5.820000112,6.253593574,4.698249073,4.501822797,4.869375002,5.559707002,5.676672298
ENSG00000004766,4.594917636,4.468847826,3.322852718,2.985988394,3.612301316,1.021011534,4.65078841
ENSG00000004776,1.251397792,1.021011534,1.021011534,2.314989466,2.440797094,1.021011534,1.520556383
ENSG00000004777,1.624557885,1.838599807,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000004779,3.875678282,5.40117914,4.168600383,4.678223663,4.250182126,5.559707002,4.134495037
ENSG00000004799,3.611091559,4.901131888,4.168600383,4.300808666,3.966212742,2.5337666,6.433238581
ENSG00000004809,1.450009315,1.021011534,4.698249073,1.021011534,1.021011534,1.021011534,1.890910519
ENSG00000004838,1.251397792,1.021011534,1.021011534,2.314989466,3.142330303,1.021011534,1.021011534
ENSG00000004846,1.624557885,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000004864,3.387145149,2.73794616,1.021011534,1.021011534,1.021011534,3.73484667,4.601740479
ENSG00000004866,6.140535996,5.40117914,3.322852718,5.703840292,4.690968247,2.5337666,4.168575791
ENSG00000004897,7.281528659,7.142465345,5.389384054,6.401495178,6.38596832,6.694729115,6.683561601
ENSG00000004939,6.27098341,8.826029976,9.375313451,7.928703101,11.05926085,9.529973824,8.756099233
ENSG00000004961,3.179018871,3.995929064,1.021011534,2.985988394,1.021011534,4.381055846,3.54666097
ENSG00000004975,3.286831853,3.038872542,3.322852718,2.985988394,4.250182126,3.73484667,2.983143058
ENSG00000005007,5.499810393,5.347364185,5.389384054,4.678223663,5.420557875,5.439807961,5.812200561
ENSG00000005020,10.52030718,10.16756312,7.816262376,9.111282899,8.528405015,7.680528044,7.824274709
ENSG00000005022,5.828945679,6.49544965,6.205997855,5.224556214,5.902811993,6.271627933,7.716091294
ENSG00000005059,3.480934629,4.251680284,3.322852718,5.106126332,3.612301316,3.255846671,5.723277423
ENSG00000005073,1.021011534,1.021011534,1.021011534,1.021011534,2.440797094,1.021011534,1.292298233
ENSG00000005075,5.638560627,5.233309817,6.724258005,5.619883797,4.869375002,6.199620446,4.992669588
ENSG00000005100,4.038774731,1.838599807,1.021011534,4.067181446,3.612301316,3.255846671,3.196383945
ENSG00000005102,2.470699671,2.73794616,3.322852718,2.314989466,4.250182126,2.5337666,2.638703712
ENSG00000005108,1.251397792,1.021011534,1.021011534,2.314989466,3.142330303,1.021011534,1.021011534
ENSG00000005156,3.525637768,3.995929064,3.322852718,2.985988394,4.487344268,3.73484667,3.646771414
ENSG00000005175,6.674858763,5.851290257,4.168600383,5.929855382,5.420557875,5.559707002,5.315230554
ENSG00000005187,2.86789994,3.038872542,1.021011534,1.021011534,3.966212742,2.5337666,4.65078841
ENSG00000005189,2.935722994,2.73794616,1.021011534,1.021011534,2.440797094,2.5337666,1.021011534
ENSG00000005194,3.233932239,2.73794616,3.322852718,2.985988394,3.612301316,2.5337666,3.828289842
ENSG00000005206,2.166390961,1.021011534,1.021011534,1.021011534,2.440797094,1.021011534,1.021011534
ENSG00000005238,4.573786724,5.291463799,6.35402962,4.067181446,7.509642903,5.559707002,4.099589675
ENSG00000005243,1.780249194,1.838599807,1.021011534,2.314989466,1.021011534,1.021011534,3.057780702
ENSG00000005249,11.20314624,10.14013134,9.754140702,10.70549759,9.717415704,7.831103312,6.354002588
ENSG00000005302,4.930311239,4.973968265,3.322852718,4.835386599,5.530767303,4.093833879,6.164351879
ENSG00000005339,7.464867663,7.441102386,7.471877385,6.86974103,7.82294862,6.585957057,7.599133087
ENSG00000005379,4.239971201,2.73794616,1.021011534,2.314989466,3.142330303,3.255846671,1.890910519
ENSG00000005381,3.062493539,3.499916977,5.389384054,2.985988394,4.250182126,5.309033755,5.688465482
ENSG00000005436,3.179018871,3.848761081,1.021011534,2.985988394,3.612301316,4.620480143,5.084787438
ENSG00000005448,2.275116933,2.357246082,3.322852718,1.021011534,3.612301316,1.021011534,2.312724784
ENSG00000005469,2.470699671,2.73794616,1.021011534,1.021011534,2.440797094,2.5337666,2.821178303
ENSG00000005471,1.624557885,3.684857269,4.168600383,1.021011534,3.966212742,3.73484667,1.021011534
ENSG00000005483,8.415576549,7.963445829,6.927012122,7.384074017,7.426542263,6.79587213,7.954511799
ENSG00000005486,2.642905391,3.499916977,1.021011534,2.985988394,1.021011534,3.255846671,2.73282405
ENSG00000005513,1.450009315,2.357246082,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000005700,5.736891394,5.889447359,1.021011534,5.530737976,5.728749504,4.825768459,5.44603367
ENSG00000005801,3.121932342,3.684857269,1.021011534,1.021011534,2.440797094,2.5337666,4.234413155
ENSG00000005810,7.828218424,7.234279038,7.710346037,7.104086196,6.835820695,6.340211609,7.324704031
ENSG00000005812,6.360076634,6.419248748,4.698249073,5.530737976,6.498750133,6.271627933,7.165054196
ENSG00000005844,6.36623476,5.347364185,7.018617007,5.106126332,6.38596832,6.340211609,5.844182725
ENSG00000005882,4.368237365,3.684857269,3.322852718,2.314989466,3.966212742,3.255846671,1.021011534
ENSG00000005884,1.251397792,1.838599807,1.021011534,1.021011534,2.440797094,1.021011534,1.292298233
ENSG00000005889,5.346282079,5.598362882,5.854714557,4.835386599,5.171130378,4.825768459,7.078074947
ENSG00000005893,5.932177317,4.743402818,4.168600383,4.067181446,4.487344268,2.5337666,4.550966179
ENSG00000005961,9.440760353,8.171313205,10.03208083,10.26191112,8.715064731,6.043834575,2.638703712
ENSG00000006007,5.648700829,6.163040014,5.389384054,5.106126332,6.32608904,5.773204727,6.003721906
ENSG00000006015,3.286831853,3.287734011,4.168600383,4.501822797,4.487344268,4.381055846,2.983143058
ENSG00000006025,2.275116933,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,4.027138426
ENSG00000006062,4.343480244,3.848761081,3.322852718,2.985988394,3.142330303,4.093833879,4.134495037
ENSG00000006071,1.021011534,2.357246082,3.322852718,2.985988394,1.021011534,2.5337666,1.292298233
ENSG00000006118,1.450009315,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000006125,7.865648782,7.540371235,6.927012122,7.596658082,7.454777684,6.694729115,7.294156217
ENSG00000006194,3.387145149,3.499916977,4.168600383,3.442193525,1.021011534,2.5337666,4.766574164
ENSG00000006282,1.624557885,3.038872542,1.021011534,2.314989466,1.021011534,2.5337666,1.021011534
ENSG00000006283,1.021011534,1.838599807,1.021011534,1.021011534,1.021011534,1.021011534,1.717585159
ENSG00000006327,2.275116933,2.73794616,1.021011534,3.788269875,1.021011534,2.5337666,1.021011534
ENSG00000006377,1.251397792,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,1.520556383
ENSG00000006432,2.470699671,2.357246082,1.021011534,1.021011534,2.440797094,1.021011534,2.538011818
ENSG00000006451,4.392576803,5.233309817,4.168600383,5.224556214,6.129918488,5.439807961,4.954109896
ENSG00000006453,1.021011534,1.838599807,1.021011534,1.021011534,2.440797094,1.021011534,1.021011534
ENSG00000006459,6.408620977,6.957275469,6.927012122,6.184863373,6.443461027,7.451682312,6.834483812
ENSG00000006530,3.062493539,3.499916977,3.322852718,2.314989466,3.142330303,4.093833879,4.954109896
ENSG00000006534,3.480934629,3.848761081,4.168600383,4.501822797,4.690968247,5.005451055,4.674700911
ENSG00000006555,1.780249194,1.838599807,3.322852718,1.021011534,1.021011534,1.021011534,3.785006133
ENSG00000006576,6.608872375,6.253593574,5.64072965,5.703840292,4.690968247,1.021011534,4.744148506
ENSG00000006607,5.83783612,5.233309817,1.021011534,5.619883797,4.487344268,5.165212984,5.711766525
ENSG00000006611,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,2.312724784
ENSG00000006625,2.470699671,3.038872542,1.021011534,3.442193525,2.440797094,4.381055846,3.439082285
ENSG00000006634,4.753669194,4.743402818,1.021011534,3.788269875,3.612301316,3.255846671,3.646771414
ENSG00000006638,4.995326531,5.598362882,6.35402962,5.619883797,4.250182126,2.5337666,3.740383555
ENSG00000006652,8.779704492,7.963445829,5.64072965,6.832924966,6.263616437,5.959142609,2.904432368
ENSG00000006659,1.251397792,1.838599807,1.021011534,1.021011534,1.021011534,1.021011534,3.196383945
ENSG00000006695,2.376220103,1.838599807,1.021011534,1.021011534,3.612301316,2.5337666,2.185348848
ENSG00000006704,1.450009315,1.838599807,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000006712,5.256305638,5.643717915,5.0848135,5.703840292,5.530767303,6.123829259,5.048643009
ENSG00000006715,7.609455586,6.957275469,6.205997855,5.333997471,6.38596832,5.670401583,5.812200561
ENSG00000006740,1.021011534,1.021011534,1.021011534,2.314989466,2.440797094,1.021011534,1.021011534
ENSG00000006744,2.935722994,3.038872542,4.698249073,4.501822797,3.612301316,3.73484667,4.524892808
ENSG00000006747,1.450009315,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,1.292298233
ENSG00000006756,1.624557885,2.357246082,1.021011534,2.985988394,1.021011534,1.021011534,1.890910519
ENSG00000006757,2.275116933,2.357246082,1.021011534,1.021011534,1.021011534,2.5337666,1.021011534
ENSG00000006831,5.997110432,4.973968265,5.64072965,5.530737976,4.690968247,5.670401583,3.950855444
ENSG00000006837,1.624557885,1.838599807,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000007038,1.021011534,1.021011534,1.021011534,1.021011534,2.440797094,1.021011534,1.021011534
ENSG00000007047,4.392576803,4.1294645,1.021011534,4.835386599,4.690968247,4.620480143,2.983143058
ENSG00000007062,1.021011534,2.357246082,1.021011534,1.021011534,1.021011534,1.021011534,3.196383945
ENSG00000007080,4.069292711,5.109458677,5.0848135,5.333997471,5.728749504,5.165212984,4.26623839
ENSG00000007129,2.166390961,1.021011534,1.021011534,2.985988394,1.021011534,1.021011534,1.292298233
ENSG00000007168,6.224284856,6.224036112,5.389384054,5.224556214,5.982553062,4.825768459,7.832269956
ENSG00000007202,5.146096797,4.901131888,5.389384054,4.501822797,4.250182126,5.005451055,5.801380322
ENSG00000007237,5.269508111,5.233309817,5.0848135,5.106126332,4.690968247,4.825768459,6.839781346
ENSG00000007255,2.470699671,3.287734011,1.021011534,2.985988394,1.021011534,4.093833879,3.439082285
ENSG00000007264,4.212890445,4.1294645,3.322852718,5.224556214,4.869375002,5.86916711,3.382127073
ENSG00000007312,2.376220103,3.038872542,1.021011534,2.985988394,3.142330303,4.093833879,4.134495037
ENSG00000007314,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,3.255846671,2.73282405
ENSG00000007341,6.798413857,5.598362882,4.168600383,5.703840292,4.250182126,4.093833879,3.128746178
ENSG00000007350,1.624557885,1.021011534,3.322852718,1.021011534,1.021011534,3.255846671,3.694336628
ENSG00000007372,1.021011534,1.021011534,1.021011534,1.021011534,3.142330303,1.021011534,1.021011534
ENSG00000007376,2.048798304,2.357246082,1.021011534,4.067181446,2.440797094,2.5337666,1.520556383
ENSG00000007384,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,2.73282405
ENSG00000007392,4.844692013,3.499916977,1.021011534,4.501822797,3.612301316,5.005451055,3.785006133
ENSG00000007402,2.470699671,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,1.717585159
ENSG00000007516,1.920763351,1.021011534,4.698249073,1.021011534,3.142330303,1.021011534,3.694336628
