EnsembleID,P3180PE,P3262PE,P3127PE,P3282PE,P3314SPE,P3228SPE,P3150SPE,P3183PE,P3077PE,P3233SPE
ENSG00000000003,2.051668069,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000000419,3.595876043,4.66282734,3.452770467,1.574066796,1.574066796,4.208837981,1.574066796,1.574066796,4.349391598,4.242947895
ENSG00000000457,4.047112949,3.575169918,3.900652216,4.047987249,1.574066796,1.574066796,1.574066796,1.574066796,3.342696013,5.421902862
ENSG00000000460,4.910963839,5.506178386,3.452770467,1.574066796,5.003183857,3.424219297,4.275709168,4.184802157,4.275039391,3.453646688
ENSG00000000938,6.245780202,6.303402424,6.502526775,6.14559624,6.331982488,5.384192606,7.067309535,5.444109091,5.962683753,5.668140141
ENSG00000000971,1.967967594,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,3.008476976,1.574066796,3.453646688
ENSG00000001036,3.941360104,2.382052177,3.900652216,1.574066796,4.483683049,3.424219297,1.574066796,4.824055498,3.342696013,1.574066796
ENSG00000001084,3.703306518,6.630775665,2.799787412,5.656794908,5.384341868,3.424219297,1.574066796,6.208545687,4.672655089,4.750235845
ENSG00000001167,4.75739257,4.219158426,4.24193384,5.205029659,1.574066796,5.087751037,1.574066796,3.008476976,4.196646083,3.453646688
ENSG00000001460,2.277063411,2.382052177,1.574066796,1.574066796,3.663934896,1.574066796,1.574066796,1.574066796,2.822358931,3.453646688
ENSG00000001461,5.649088865,5.001665452,6.502526775,5.205029659,5.003183857,1.574066796,4.275709168,3.71335061,4.025792518,5.668140141
ENSG00000001497,4.422131865,4.66282734,3.452770467,1.574066796,1.574066796,1.574066796,1.574066796,5.061591591,5.029966358,4.242947895
ENSG00000001561,2.588642865,2.896877456,2.799787412,1.574066796,3.663934896,3.424219297,1.574066796,1.574066796,2.329210893,1.574066796
ENSG00000001617,1.574066796,2.382052177,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,2.000492674,1.574066796
ENSG00000001629,5.861135307,5.641538871,5.123708744,6.000319068,5.003183857,4.714215374,1.574066796,4.824055498,5.889814472,4.242947895
ENSG00000001630,1.784419047,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,2.000492674,1.574066796
ENSG00000001631,6.250215975,5.823387586,4.517727852,5.205029659,4.483683049,4.208837981,1.574066796,6.208545687,6.617704725,3.453646688
ENSG00000002016,3.320190157,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,3.008476976,2.000492674,1.574066796
ENSG00000002079,1.683073334,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000002330,4.842109631,4.034701779,4.517727852,4.543681726,4.483683049,3.424219297,1.574066796,1.574066796,4.984028216,4.242947895
ENSG00000002549,5.049749148,5.641538871,3.452770467,5.448523715,5.384341868,3.424219297,4.275709168,5.60302913,5.585884748,5.421902862
ENSG00000002586,10.14155795,8.883867194,9.079699908,8.267540788,8.335405525,8.361003974,6.662909067,9.182208335,9.406792622,8.099338334
ENSG00000002587,2.051668069,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,3.71335061,1.574066796,1.574066796
ENSG00000002745,2.277063411,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000002822,5.558995614,4.897318536,4.749165676,4.911924638,5.68555368,3.424219297,4.275709168,5.60302913,5.117674343,4.750235845
ENSG00000002834,7.921864453,7.558507773,7.769631108,7.430652371,6.331982488,7.07523553,5.704689849,7.495195476,7.434220481,7.479825312
ENSG00000002919,3.778935147,4.219158426,4.24193384,1.574066796,1.574066796,1.574066796,1.574066796,4.184802157,3.017408437,4.242947895
ENSG00000002933,2.205773863,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,4.750235845
ENSG00000003056,6.280890279,4.784831887,5.877271324,4.911924638,4.483683049,4.208837981,4.275709168,1.574066796,5.732008189,5.124809365
ENSG00000003096,2.89091984,1.574066796,2.799787412,1.574066796,1.574066796,1.574066796,5.160332126,1.574066796,1.574066796,1.574066796
ENSG00000003137,1.574066796,2.382052177,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000003147,5.901174413,5.433417058,5.420783123,4.543681726,1.574066796,3.424219297,1.574066796,5.60302913,5.759537263,3.453646688
ENSG00000003249,2.051668069,2.382052177,1.574066796,3.286775746,4.483683049,1.574066796,4.275709168,1.574066796,2.596754359,1.574066796
ENSG00000003393,3.567720188,3.27552481,2.799787412,3.286775746,1.574066796,4.208837981,1.574066796,1.574066796,3.189200783,1.574066796
ENSG00000003400,3.896788518,4.66282734,4.517727852,3.286775746,1.574066796,5.087751037,5.704689849,3.008476976,4.113747026,3.453646688
ENSG00000003402,8.648930427,8.904203221,7.919664409,8.063232812,8.246065441,8.179904351,6.662909067,7.944412295,8.447366046,8.366750863
