EnsembleID,P3240SPE,P3072PE,P3330PE,P3113SPE
ENSG00000000003,1.970750446,1.362028924,1.362028924,1.362028924
ENSG00000000419,4.377499418,3.595062759,4.247284286,4.223075661
ENSG00000000457,3.320682329,3.595062759,2.860406165,2.926623954
ENSG00000000460,6.506949241,3.595062759,4.415312308,1.83876202
ENSG00000000938,4.32989742,6.207976388,6.363345096,7.11329189
ENSG00000000971,1.698259332,2.873298476,1.362028924,1.362028924
ENSG00000001036,3.879094307,3.595062759,2.297582008,1.83876202
ENSG00000001084,2.39752232,5.344325482,4.702055223,3.872754685
ENSG00000001167,4.423580818,4.432835737,3.264245782,4.370766879
ENSG00000001460,3.111384157,1.362028924,1.362028924,1.83876202
ENSG00000001461,5.334482987,1.362028924,4.057074522,5.278238128
ENSG00000001497,3.503428133,3.595062759,4.247284286,4.504732895
ENSG00000001561,1.698259332,1.362028924,2.860406165,2.721750054
ENSG00000001617,1.362028924,1.362028924,2.860406165,1.362028924
ENSG00000001629,6.528195379,3.595062759,6.042400591,5.640361601
ENSG00000001631,6.610182811,5.164662069,6.481678846,5.610950057
ENSG00000002016,2.726445499,4.073925384,1.362028924,3.65948132
ENSG00000002330,4.980914352,3.595062759,4.247284286,4.058522444
ENSG00000002549,6.116002977,4.432835737,5.820827315,4.058522444
ENSG00000002586,10.55680833,6.462625675,8.793094068,8.690867892
ENSG00000002587,1.362028924,2.873298476,1.362028924,1.83876202
ENSG00000002745,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000002822,4.065024699,5.778644789,5.146190752,5.201386247
ENSG00000002834,7.927259729,5.647880738,7.381812252,7.253126019
ENSG00000002919,4.377499418,4.432835737,4.057074522,3.968626535
ENSG00000002933,1.698259332,1.362028924,1.362028924,2.482889605
ENSG00000003056,5.983836269,4.073925384,5.146190752,5.077840659
ENSG00000003096,2.866484304,1.362028924,1.362028924,1.362028924
ENSG00000003147,6.639765416,3.595062759,5.87949169,4.894707549
ENSG00000003393,3.111384157,1.362028924,2.297582008,3.105989111
ENSG00000003400,3.111384157,1.362028924,4.415312308,4.298810372
ENSG00000003402,9.375865318,7.660788527,8.242418607,8.704855951
ENSG00000003436,9.123575799,5.344325482,7.860872163,6.99304663
ENSG00000003509,2.199859906,1.362028924,1.362028924,2.196479516
ENSG00000003756,8.382894849,7.033503759,7.999571985,7.521617857
ENSG00000004059,6.073278734,4.959398801,5.485300064,5.351202356
ENSG00000004139,1.362028924,4.432835737,1.362028924,3.265500105
