EnsembleID,P3191PE,P3003PE,P3074SPE
ENSG00000000003,-0.174883164,1.291691528,0.726140455
ENSG00000000005,-0.60811535,0.020729603,-0.60811535
ENSG00000000419,2.95966293,3.835518239,4.219000892
ENSG00000000457,2.916407031,2.309491653,3.411100684
ENSG00000000460,3.852320334,5.540204414,3.919272852
ENSG00000000938,4.520126976,4.582152673,5.42886677
ENSG00000000971,0.157852609,0.020729603,0.208055815
ENSG00000001036,3.546682774,2.084147754,2.363941681
ENSG00000001084,2.570738113,3.68283245,3.411100684
ENSG00000001167,3.7574579,3.722545359,4.434114428
ENSG00000001460,2.189798189,1.816971108,1.656011051
ENSG00000001461,6.609190277,4.764424478,4.650238442
ENSG00000001497,2.513831047,3.871291966,3.870879326
ENSG00000001561,3.962747846,3.094451617,1.407277898
ENSG00000001617,-0.174883164,-0.60811535,-0.60811535
ENSG00000001629,5.652195271,5.626470302,5.288543334
ENSG00000001630,-0.174883164,-0.60811535,0.726140455
ENSG00000001631,5.729206885,5.985942479,6.000875959
ENSG00000002016,1.771245913,1.06331659,1.106539334
ENSG00000002330,4.795497411,4.129427818,4.434114428
ENSG00000002549,4.250881248,3.906200052,4.179810288
ENSG00000002586,9.667430298,9.17777998,9.114087907
ENSG00000002745,-0.60811535,0.020729603,0.208055815
ENSG00000002746,-0.60811535,0.457217731,-0.60811535
ENSG00000002822,3.87509239,3.68283245,4.257154983
ENSG00000002834,7.99061394,7.352073267,6.941693135
ENSG00000002919,3.962747846,3.906200052,2.93416459
ENSG00000002933,-0.60811535,1.291691528,-0.60811535
ENSG00000003056,6.405273557,5.412480153,5.541365067
ENSG00000003096,1.562627832,1.291691528,1.656011051
ENSG00000003137,0.157852609,-0.60811535,0.726140455
ENSG00000003147,5.820027579,5.647254222,5.048588351
ENSG00000003249,-0.60811535,0.457217731,-0.60811535
ENSG00000003393,3.36556219,3.369239226,2.497440227
ENSG00000003400,2.26068893,3.153755934,3.477246854
ENSG00000003402,7.948289754,8.072063178,7.779725848
ENSG00000003436,9.341302678,8.150588395,7.874817299
ENSG00000003509,0.851985724,1.816971108,0.726140455
ENSG00000003756,7.032814552,7.569106744,7.424918461
ENSG00000003989,0.428047414,-0.60811535,-0.60811535
ENSG00000004059,6.096829998,5.594721994,5.808735996
ENSG00000004139,0.655532735,1.291691528,1.106539334
ENSG00000004142,2.729115788,2.967987056,3.268950027
ENSG00000004399,1.865234815,2.309491653,2.619625114
ENSG00000004455,2.87181401,4.215446737,4.365912625
ENSG00000004468,0.655532735,1.6621999,0.726140455
ENSG00000004478,1.865234815,4.099576083,4.760601544
ENSG00000004487,6.619341682,6.86326279,6.679027133
ENSG00000004534,6.911387232,6.898363344,7.032489123
ENSG00000004660,1.318659198,1.06331659,0.208055815
ENSG00000004700,6.111288151,5.258898443,4.786921847
ENSG00000004766,4.045381197,3.871291966,3.192252142
ENSG00000004776,2.328258804,1.291691528,-0.60811535
ENSG00000004777,-0.174883164,0.020729603,-0.60811535
ENSG00000004779,2.513831047,3.798834847,4.098082979
ENSG00000004799,1.318659198,3.31831003,3.820805986
ENSG00000004809,0.157852609,-0.60811535,-0.60811535
ENSG00000004846,0.851985724,0.791864764,-0.60811535
ENSG00000004864,1.865234815,2.592718099,1.656011051
ENSG00000004866,6.835044587,5.985942479,5.288543334
ENSG00000004897,7.050428403,6.808956851,6.322096597
ENSG00000004939,5.076612508,6.51876385,6.787289574
ENSG00000004961,1.771245913,2.829362318,2.732265031
